Asset,Zone,Model,Data Received,Actions,,,,,,,,,,,,,,
TN 87 2286,REC BUS,TATA LPO - 19B,21/09/2024 06:32,http://maps.google.com/maps?z=1&t=m&q=loc:12.9546332+80.1583290,,,,,,,,,,,,,,
TN 87 8022,REC BUS,TATA LPO - 25,01/04/2026 22:19,http://maps.google.com/maps?z=1&t=m&q=loc:12.9802501+80.2274036,,,,,,,,,,,,,,
TN 87 0261,REC BUS,Ashok Leyland- 27,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.9803824+80.2272224,,,,,,,,,,,,,,
TN 87 B 0891,REC BUS,TATA LPO - 44,12/02/2026 17:33,http://maps.google.com/maps?z=1&t=m&q=loc:12.9812335+79.9675512,,,,,,,,,,,,,,
TN 21 BY 1586,REC BUS,Ashok Leyland 21,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.9891991+80.1784706,,,,,,,,,,,,,,
TN 87 2302,REC BUS,TATA LPO  36,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:12.9959833+80.1079368,,,,,,,,,,,,,,
TN 87 2291,REC BUS,TATA LPO - 35,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.996091666666667+80.108105,,,,,,,,,,,,,,
TN 87 0437,REC BUS,Ashok Leyland 23,01/04/2026 22:10,http://maps.google.com/maps?z=1&t=m&q=loc:12.9961168+80.1078987,,,,,,,,,,,,,,
TN 87 0466,REC BUS,Ashok Leyland 08,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:12.996146666666666+80.10819333333333,,,,,,,,,,,,,,
TN 87 B 0846,REC BUS,TATA LPO -16,26/03/2026 22:57,http://maps.google.com/maps?z=1&t=m&q=loc:13.0044829+80.0022220,,,,,,,,,,,,,,
TN12BK6781,REC BUS,MTB T40 COMFIO -16B,01/12/2024 06:38,http://maps.google.com/maps?z=1&t=m&q=loc:13.0088253+80.0050659,,,,,,,,,,,,,,
TN 87 2432,REC BUS,TATA LPO 42,07/01/2026 14:38,http://maps.google.com/maps?z=1&t=m&q=loc:13.0096995+80.0052928,,,,,,,,,,,,,,
TN 87 B 0884,REC BUS,TATA LPO - 38,01/04/2026 20:33,http://maps.google.com/maps?z=1&t=m&q=loc:13.0098176+80.0037193,,,,,,,,,,,,,,
TN 87 A 4483,REC BUS,MTB T40 COMFIO,01/03/2024 16:28,http://maps.google.com/maps?z=1&t=m&q=loc:13.010141666666666+80.00529333333333,,,,,,,,,,,,,,
TN 87 A 2610,REC BUS,TATA LPO - 42,10/03/2026 11:17,http://maps.google.com/maps?z=1&t=m&q=loc:13.0102992+80.0057697,,,,,,,,,,,,,,
TN 21 BZ 2085,REC BUS,2516/2-34,09/08/2025 10:18,http://maps.google.com/maps?z=1&t=m&q=loc:13.0103993+80.0044155,,,,,,,,,,,,,,
TN 87 A 3308,REC BUS,MTB T40 COMFIO - 26,23/07/2023 12:00,http://maps.google.com/maps?z=1&t=m&q=loc:13.010416666666666+80.00390833333333,,,,,,,,,,,,,,
TN 87 2283,REC BUS,TATA LPO -14,16/03/2026 10:56,http://maps.google.com/maps?z=1&t=m&q=loc:13.0104327+80.0039005,,,,,,,,,,,,,,
TN 87 8020,REC BUS,TATA LPO-3,01/04/2026 10:14,http://maps.google.com/maps?z=1&t=m&q=loc:13.01044+80.00460166666667,,,,,,,,,,,,,,
TN 87 2292,REC BUS,TATA LPO 5C,22/08/2025 09:44,http://maps.google.com/maps?z=1&t=m&q=loc:13.010506666666666+80.003665,,,,,,,,,,,,,,
TN 87 A 1783,REC BUS,TATA LPO - 13,01/04/2026 14:17,http://maps.google.com/maps?z=1&t=m&q=loc:13.0105495+80.0055885,,,,,,,,,,,,,,
TN87E9736,REC BUS,BUS(TATA),01/04/2026 14:24,http://maps.google.com/maps?z=1&t=m&q=loc:13.0105716+80.0046716,,,,,,,,,,,,,,
TN 87 2430,REC BUS,TATA LPO 42C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.0105996+80.0044822,,,,,,,,,,,,,,
TN87E7166,REC BUS,,01/04/2026 17:36,http://maps.google.com/maps?z=1&t=m&q=loc:13.0105999+80.0046949,,,,,,,,,,,,,,
TN 87 1040,REC BUS,Ashok Leyland - 6,10/03/2026 10:51,http://maps.google.com/maps?z=1&t=m&q=loc:13.010666666666667+80.00377333333333,,,,,,,,,,,,,,
TN 87 A 3929,REC BUS,TATA LPO 28,01/04/2026 20:28,http://maps.google.com/maps?z=1&t=m&q=loc:13.0107831+80.0035190,,,,,,,,,,,,,,
TN 87 2431,REC BUS,TATA LPO - 20B,30/03/2026 13:00,http://maps.google.com/maps?z=1&t=m&q=loc:13.010803333333333+80.00420166666666,,,,,,,,,,,,,,
TN 87 0450,REC BUS,Ashok Leyland 27C,24/03/2026 14:51,http://maps.google.com/maps?z=1&t=m&q=loc:13.010831666666666+80.003165,,,,,,,,,,,,,,
TN 87 2415,REC BUS,TATA LPO -15B,09/03/2026 08:44,http://maps.google.com/maps?z=1&t=m&q=loc:13.0108332+80.0037288,,,,,,,,,,,,,,
TN 87 2448,REC BUS,TATA LPO-18B,24/03/2026 10:41,http://maps.google.com/maps?z=1&t=m&q=loc:13.0108332+80.0040817,,,,,,,,,,,,,,
TN 87 2427,REC BUS,TATA LPO -  23C,23/03/2026 12:58,http://maps.google.com/maps?z=1&t=m&q=loc:13.010848333333334+80.003955,,,,,,,,,,,,,,
TN 87 B 0880,REC BUS,TATA LPO -9C,01/04/2026 09:19,http://maps.google.com/maps?z=1&t=m&q=loc:13.0108666+80.0039100,,,,,,,,,,,,,,
TN 87 2412,REC BUS,TATA LPO 17C,20/01/2026 07:45,http://maps.google.com/maps?z=1&t=m&q=loc:13.0108833+80.0041484,,,,,,,,,,,,,,
TN 87 1044,REC BUS,TATA LPO - 19 A,07/03/2026 14:33,http://maps.google.com/maps?z=1&t=m&q=loc:13.010893333333334+80.00391166666667,,,,,,,,,,,,,,
TN 87 2457,REC BUS,TATA LPO -38C,11/02/2026 08:45,http://maps.google.com/maps?z=1&t=m&q=loc:13.0110502+80.0041389,,,,,,,,,,,,,,
TN 87 D 9884,REC BUS,Bus,23/01/2026 14:26,http://maps.google.com/maps?z=1&t=m&q=loc:13.0113673+80.0067138,,,,,,,,,,,,,,
TN 87 A 3540,REC BUS,TATA LPO - 26C,12/02/2026 10:03,http://maps.google.com/maps?z=1&t=m&q=loc:13.0118334+80.0076103,,,,,,,,,,,,,,
TN 87 0478,REC BUS,Ashok Leyland - 24C,24/03/2026 15:20,http://maps.google.com/maps?z=1&t=m&q=loc:13.012596666666667+80.004125,,,,,,,,,,,,,,
TN 87 2299,REC BUS,TATA LPO - 12,09/03/2026 07:25,http://maps.google.com/maps?z=1&t=m&q=loc:13.013718333333333+80.00214833333334,,,,,,,,,,,,,,
TN 87 2290,REC BUS,TATA LPO  -    7,27/09/2025 05:28,http://maps.google.com/maps?z=1&t=m&q=loc:13.014136666666667+80.0066,,,,,,,,,,,,,,
TN 21 BY 1639,REC BUS,TATA LPO - 24C,11/02/2026 17:15,http://maps.google.com/maps?z=1&t=m&q=loc:13.021251666666666+80.01514833333333,,,,,,,,,,,,,,
TN 87 A 2630,REC BUS,TATA LPO -39,01/04/2026 18:14,http://maps.google.com/maps?z=1&t=m&q=loc:13.0244326+79.6775674,,,,,,,,,,,,,,
TN 87 B 0896,REC BUS,TATA LPO - 41C,23/01/2026 06:55,http://maps.google.com/maps?z=1&t=m&q=loc:13.0255675+79.7973632,,,,,,,,,,,,,,
TN 21 BY 1625,REC BUS,Ashok Leyland - 29C,01/04/2026 21:45,http://maps.google.com/maps?z=1&t=m&q=loc:13.044021666666668+80.19705166666667,,,,,,,,,,,,,,
TN 87 2442,REC BUS,TATA LPO -13,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.044101666666666+80.196415,,,,,,,,,,,,,,
TN 87 2308,REC BUS,TATA LPO -8C,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.044095+80.19666333333333,,,,,,,,,,,,,,
TN 87 2284,REC BUS,TATA LPO 34C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.044146666666666+80.19653833333334,,,,,,,,,,,,,,
TN 87 0439,REC BUS,Ashok Leyland -3C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.044211666666667+80.19654166666666,,,,,,,,,,,,,,
TN 87 1039,REC BUS,Ashok Leyland - 30,24/01/2026 17:14,http://maps.google.com/maps?z=1&t=m&q=loc:13.0442166+80.1968860,,,,,,,,,,,,,,
TN 87 1030,REC BUS,TATA LPO - 5,01/04/2026 21:43,http://maps.google.com/maps?z=1&t=m&q=loc:13.0442333+80.1968002,,,,,,,,,,,,,,
TN 21 BY 1608,REC BUS,TATA LPO - 20,01/04/2026 16:57,http://maps.google.com/maps?z=1&t=m&q=loc:13.044273333333333+80.19675333333333,,,,,,,,,,,,,,
TN 21 BY 1616,REC BUS,Ashok Leyland - 33C,13/03/2026 07:25,http://maps.google.com/maps?z=1&t=m&q=loc:13.0442762+80.1964664,,,,,,,,,,,,,,
TN 87 A 3310,REC BUS,TATA LPO - 20C,31/03/2026 06:48,http://maps.google.com/maps?z=1&t=m&q=loc:13.0443668+80.1965141,,,,,,,,,,,,,,
TN 87 8037,REC BUS,TATA LPO - 31,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.044398333333334+80.19656833333333,,,,,,,,,,,,,,
TN 21 BY 1581,REC BUS,Ashok Leyland -  31,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.0444+80.19666,,,,,,,,,,,,,,
TN 87 2315,REC BUS,TATA LPO - 29,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.04445+80.19647166666667,,,,,,,,,,,,,,
TN 87 D 9895,REC BUS,Bus,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.0592668+80.1598834,,,,,,,,,,,,,,
TN 87 A 3516,REC BUS,TATA LPO-1C,01/04/2026 22:21,http://maps.google.com/maps?z=1&t=m&q=loc:13.0593991+80.1599216,,,,,,,,,,,,,,
TN 87 B 0871,REC BUS,TATA LPO - 1C,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.0594658+80.1599216,,,,,,,,,,,,,,
TN87E7249,REC BUS,BUS(TATA),01/04/2026 21:31,http://maps.google.com/maps?z=1&t=m&q=loc:13.0911716+80.1212833,,,,,,,,,,,,,,
TN 87 8773,REC BUS,TATA LPO -16C,01/04/2026 19:53,http://maps.google.com/maps?z=1&t=m&q=loc:13.0912506+80.1211738,,,,,,,,,,,,,,
TN 87 9103,REC BUS,TATA LPO 15,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.091498333333334+80.12128833333334,,,,,,,,,,,,,,
TN12BH6042,REC BUS,Mahindra,17/12/2025 16:26,http://maps.google.com/maps?z=1&t=m&q=loc:13.098679+80.148078,,,,,,,,,,,,,,
TN 87 B 0828,REC BUS,TATA LPO - 41,01/04/2026 18:36,http://maps.google.com/maps?z=1&t=m&q=loc:13.0996668+79.6551990,,,,,,,,,,,,,,
TN 87 2260,REC BUS,TATA LPO -19,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1003665+80.1939964,,,,,,,,,,,,,,
TN 87 8780,REC BUS,TATA LPO-2,01/04/2026 17:05,http://maps.google.com/maps?z=1&t=m&q=loc:13.1003999+80.1942157,,,,,,,,,,,,,,
TN 87 B 0838,REC BUS,TATA LPO -11C,20/01/2026 04:42,http://maps.google.com/maps?z=1&t=m&q=loc:13.1004333+80.1941680,,,,,,,,,,,,,,
TN 87 2274,REC BUS,TATA LPO 36C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.1005001+80.1939678,,,,,,,,,,,,,,
TN 87 A 3352,REC BUS,TATA LPO -9,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.1005167+80.1940536,,,,,,,,,,,,,,
TN 87 2297,REC BUS,TATA LPO - 4C,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1005334+80.1938629,,,,,,,,,,,,,,
TN 87 B 0813,REC BUS,TATA LPO - 1,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.1006669+80.1939964,,,,,,,,,,,,,,
TN 87 2445,REC BUS,TATA LPO-10C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.1177330+80.2627849,,,,,,,,,,,,,,
TN 21 BY 1580,REC BUS,TATA LPO -10,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1177496+80.2628612,,,,,,,,,,,,,,
TN 87 2261,REC BUS,TATA LPO-15A,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.117853333333333+80.26290166666666,,,,,,,,,,,,,,
TN 87 A 1770,REC BUS,TATA LPO -  4,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.117848333333333+80.262965,,,,,,,,,,,,,,
TN 12 BJ 6627,REC BUS,MTB T40 COMFIO - 28C,01/04/2026 17:32,http://maps.google.com/maps?z=1&t=m&q=loc:13.1178665+80.2627849,,,,,,,,,,,,,,
TN 87 8019,REC BUS,TATA LPO -12B,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.117873333333334+80.26296333333333,,,,,,,,,,,,,,
TN 87 2424,REC BUS,TATA LPO13C,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.117876666666668+80.26306,,,,,,,,,,,,,,
TN87A1806,REC BUS,TATA LPO-11,01/04/2026 18:51,http://maps.google.com/maps?z=1&t=m&q=loc:13.1178998+80.2628040,,,,,,,,,,,,,,
TN 12 BH 9903,REC BUS,Mahindra,01/04/2026 16:56,http://maps.google.com/maps?z=1&t=m&q=loc:13.1179165+80.2628326,,,,,,,,,,,,,,
TN 87 2304,REC BUS,TATA LPO-13B,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.118003333333334+80.26287666666667,,,,,,,,,,,,,,
TN 87 A 3312,REC BUS,MTS T40 COMFIO 21C,09/08/2023 06:12,http://maps.google.com/maps?z=1&t=m&q=loc:13.118041666666667+80.26269333333333,,,,,,,,,,,,,,
TN 87 8042,REC BUS,TATA LPO -20,24/01/2026 17:13,http://maps.google.com/maps?z=1&t=m&q=loc:13.1180667+80.2628898,,,,,,,,,,,,,,
TN87E7215,REC BUS,BUS(TATA),01/04/2026 19:49,http://maps.google.com/maps?z=1&t=m&q=loc:13.1191533+80.0861783,,,,,,,,,,,,,,
TN 87 B 0869,REC BUS,TATA LPO- 18C,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1191837+80.0860404,,,,,,,,,,,,,,
TN 87 D 6692,REC BUS,Mahindra,01/04/2026 22:18,http://maps.google.com/maps?z=1&t=m&q=loc:13.1270968+79.9941158,,,,,,,,,,,,,,
TN87E7207,REC BUS,BUS(TATA),01/04/2026 18:34,http://maps.google.com/maps?z=1&t=m&q=loc:13.1271033+79.9942083,,,,,,,,,,,,,,
TN 87 9074,REC BUS,TATA LPO - 18,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.127138333333333+79.994325,,,,,,,,,,,,,,
TN 87 A 6501,REC BUS,TATA LPO 15C,30/03/2026 13:19,http://maps.google.com/maps?z=1&t=m&q=loc:13.135673333333333+80.17546,,,,,,,,,,,,,,
TN 87 E 1253,REC BUS,Mahindra,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1356966+80.1755237,,,,,,,,,,,,,,
TN 87 1121,REC BUS,Ashok Leyland - 17,01/04/2026 22:23,http://maps.google.com/maps?z=1&t=m&q=loc:13.1404995+79.9040508,,,,,,,,,,,,,,
TN 87 D 7350,REC BUS,Bus,01/04/2026 22:19,http://maps.google.com/maps?z=1&t=m&q=loc:13.1410908+79.9038457,,,,,,,,,,,,,,
TN87F2602,REC BUS,TATA,01/04/2026 20:17,http://maps.google.com/maps?z=1&t=m&q=loc:13.1592033+80.1100633,,,,,,,,,,,,,,
TN 12 BH 9976,REC BUS,MTB T40 COMFIO -8,01/04/2026 16:30,http://maps.google.com/maps?z=1&t=m&q=loc:13.159308333333334+80.110235,,,,,,,,,,,,,,
TN87E7125,REC BUS,BUS(TATA),01/04/2026 18:40,http://maps.google.com/maps?z=1&t=m&q=loc:13.1837183+80.1933816,,,,,,,,,,,,,,
TN 87 2437,REC BUS,TATA LPO -9B,01/04/2026 22:06,http://maps.google.com/maps?z=1&t=m&q=loc:13.1900000+80.3145408,,,,,,,,,,,,,,
TN87E7747,REC BUS,BUS(TATA),01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.1924716+80.2674616,,,,,,,,,,,,,,
TN 87 D 9875,REC BUS,Mahindra,01/04/2026 22:22,http://maps.google.com/maps?z=1&t=m&q=loc:13.2619512+80.1568698,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
