Vehicle_Register_Number,Model,Registration Date,Manufacture Yr,Branch,Bus_Num
TN 87 D 6692,Mahindra,31/01/2023,,REC BUS,
TN 21 BY 1586,Ashok Leyland 21,27/01/2017,2016,REC BUS,21
TN 87 0437,Ashok Leyland 23,27/03/2017,2016,REC BUS,23
TN 87 1030,TATA LPO - 5,13/04/2017,2016,REC BUS,5
TN 87 2308,TATA LPO -8C,09/06/2017,2017,REC BUS,8C
TN 87 2427,TATA LPO -  23C,14/06/2017,2016,REC BUS,23C
TN 87 2433,TATA LPO 40,14/06/2017,2016,REC BUS,40
TN 87 9074,TATA LPO - 18,15/12/2017,2017,REC BUS,18
TN87A1806,TATA LPO-11,24/07/2017,2017,REC BUS,11
TN12BH6991,MTB T40 COMFIO 33,18/09/2018,2018,REC BUS,33
TN 87 B 0891,TATA LPO - 44,02/08/2019,2019,REC BUS,44
TN 87 D 6684,Mahindra,31/01/2023,,REC BUS,
TN 87 B 0869,TATA LPO- 18C,02/08/2019,2019,REC BUS,18C
TN 87 0268,Ashok Leyland 22,21/03/2017,2016,REC BUS,22
TN 87 0439,Ashok Leyland -3C,27/03/2017,2017,REC BUS,3C
TN 87 2291,TATA LPO - 35,09/06/2017,2017,REC BUS,35
TN 87 2424,TATA LPO13C,14/06/2017,2016,REC BUS,13C
TN 87 2430,TATA LPO 42C,14/06/2017,2016,REC BUS,42C
TN 87 2448,TATA LPO-18B,14/06/2017,2016,REC BUS,18B
TN 87 9103,TATA LPO 15,03/04/2018,2017,REC BUS,15
TN 87 A 1783,TATA LPO - 13,24/07/2017,2017,REC BUS,13
TN 12 BH 9976,MTB T40 COMFIO -8,18/09/2018,2018,REC BUS,8
TN 87 B 0846,TATA LPO -16,02/08/2019,2019,REC BUS,16
TN 87 B 0880,TATA LPO -9C,02/08/2019,2019,REC BUS,9C
TN 21 BY 1616,Ashok Leyland - 33C,27/01/2017,2016,REC BUS,33C
TN 87 0466,Ashok Leyland 08,27/03/2017,2016,REC BUS,8
TN 87 2304,TATA LPO-13B,09/06/2017,2017,REC BUS,13B
TN 87 2412,TATA LPO 17C,14/06/2017,2016,REC BUS,17C
TN 87 2437,TATA LPO -9B,14/06/2017,2016,REC BUS,9B
TN 87 2436,TATA LPO 41,14/06/2017,2016,REC BUS,41
TN 87 8042,TATA LPO -20,21/02/2017,2017,REC BUS,20
TN 87 A 3929,TATA LPO 28,11/10/2018,2018,REC BUS,28
TN 87 A 2610,TATA LPO - 42,30/09/2018,2017,REC BUS,42
TN 87 B 0813,TATA LPO - 1,01/08/2019,2019,REC BUS,1
TN 87 B 0838,TATA LPO -11C,01/08/2019,2019,REC BUS,11C
TN 87 2274,TATA LPO 36C,09/06/2017,2017,REC BUS,36C
TN 21 BY 1625,Ashok Leyland - 29C,27/06/2017,2016,REC BUS,29C
TN 87 0478,Ashok Leyland - 24C,27/03/2017,2017,REC BUS,24C
TN 87 2261,TATA LPO-15A,09/06/2017,2017,REC BUS,15A
TN 87 2432,TATA LPO 42,14/06/2017,2017,REC BUS,42
TN 87 2283,TATA LPO -14,09/06/2017,2017,REC BUS,14
TN 87 2457,TATA LPO -38C,14/06/2017,2016,REC BUS,38C
TN 87 8019,TATA LPO -12B,21/02/2018,2017,REC BUS,12B
TN 87 A 3310,TATA LPO - 20C,18/09/2018,2018,REC BUS,20C
TN 87 A 2630,TATA LPO -39,30/09/2018,2017,REC BUS,39
TN 87 2290,TATA LPO  -    7,09/06/2017,2017,REC BUS,7
TN 87 0261,Ashok Leyland- 27,21/03/2017,2016,REC BUS,27
TN 87 1039,Ashok Leyland - 30,13/04/2017,2016,REC BUS,30
TN 87 2286,TATA LPO - 19B,09/06/2017,2017,REC BUS,19B
TN 87 2442,TATA LPO -13,14/06/2017,2016,REC BUS,13
TN 87 2284,TATA LPO 34C,09/06/2017,2017,REC BUS,34C
TN 87 2445,TATA LPO-10C,14/06/2017,2016,REC BUS,10C
TN 87 8020,TATA LPO-3,21/02/2017,2017,REC BUS,3
TN 87 A 3352,TATA LPO -9,18/09/2018,2018,REC BUS,9
TN 87 A 6501,TATA LPO 15C,07/02/2019,2018,REC BUS,15C
TN 21 BY 1580,TATA LPO -10,27/01/2017,2016,REC BUS,10
TN 21 BY 1581,Ashok Leyland -  31,27/01/2017,2016,REC BUS,31
TN 87 1040,Ashok Leyland - 6,13/04/2017,2016,REC BUS,6
TN 87 2292,TATA LPO 5C,09/06/2017,2017,REC BUS,5C
TN 87 2415,TATA LPO -15B,14/06/2017,2016,REC BUS,15B
TN 87 2302,TATA LPO  36,09/06/2017,2017,REC BUS,36
TN 87 8780,TATA LPO-2,20/03/2018,2017,REC BUS,2
TN 87 8773,TATA LPO -16C,20/03/2018,2017,REC BUS,16C
TN 87 A 3516,TATA LPO-1C,27/09/2018,2018,REC BUS,1C
TN 87 A 4483,MTB T40 COMFIO,31/12/2018,2018,REC BUS,
TN 21 BZ 2085,2516/2-34,02/09/2009,2009,REC BUS,34
